nome,lat,lon,abts,ur,efetivo,risco,coordenacao,publico,eventos_programados,eventos_complementares
Aracaju,-10.9472,-37.0731,1,2,30+,Alto,1º GBM,30.000+,"🎤 Vila do Forró: 01 a 30/06
🎤 Arraiá do Povo: 29/05 a 28/06
🎤 Forró Caju: 29/05 a 28/07","📍 Praça Santos Dumont (12 e 13/06): 🚑 01 viatura
📍 Conj. Augusto Franco (04, 05 e 06/06): 🚑 01 viatura"
Estância,-11.2683,-37.4386,,,,,,,
Barra dos Coqueiros,-10.9089,-37.0383,,,,,,,
Canindé de São Francisco,-9.6617,-37.7897,,,,,,,
Cristinápolis,-11.4756,-37.7583,,,,,,,
Itabaiana,-10.6850,-37.4278,,,,,,,
Nossa Senhora do Socorro,-10.8550,-37.1261,,,,,,,
Areia Branca,-10.7589,-37.3139,,,,,,,
Capela,-10.5069,-37.0528,,,,,,,
Itaporanga d'Ajuda,-10.9981,-37.3078,,,,,,,
Lagarto,-10.9139,-37.6681,,,,,,,
Rosário do Catete,-10.6956,-37.0350,,,,,,,
Tobias Barreto,-11.1839,-38.0000,,,,,,,
